book_name,price,image,link
General Practice Guide 3rd Edition,₹438,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/u/s/n/general-practice-guide-3rd-edition-original-imagpekqg22fyhnz.jpeg?q=70,https://www.flipkart.com/general-practice-guide-3rd/p/itmc84c7a226abf5?pid=RBKGPEKQDAEKFCX5&lid=LSTRBKGPEKQDAEKFCX5VNNN3J&marketplace=FLIPKART&q=books&store=bks&srno=s_1_1&otracker=search&fm=organic&iid=en_zY1lxdGkYm1Vr3uW44TvYgqggNMVJE6YmOKepWSZE6fvrAAOTdGC25LBkE7uOYcTqURTBqTcnDYx-b6TEQWZig%3D%3D&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
General Practice Guide Second Edition,₹360,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/t/g/6/general-practice-guide-second-edition-original-imagkqgfzp99pwx6.jpeg?q=70,https://www.flipkart.com/general-practice-guide-second/p/itmab3a685570577?pid=RBKGKQGFZUKHNZYV&lid=LSTRBKGKQGFZUKHNZYVRVIRSE&marketplace=FLIPKART&q=books&store=bks&srno=s_1_2&otracker=search&fm=organic&iid=en_zY1lxdGkYm1Vr3uW44TvYgqggNMVJE6YmOKepWSZE6c8Njeswz9t5u152x7hd1Th53v68preekS3XHaw4TTkjw%3D%3D&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Maths Concept King All Formulas And Theorum | Smart Tri...,₹239,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/j/l/b/math-concept-king-all-formulas-and-theorems-latest-updated-original-imahyr7ausdya5rh.jpeg?q=70,https://www.flipkart.com/maths-concept-king-all-formulas-theorum-smart-tricks-arithmetic-advance-bilingual-2024-cet-ssc-cgl-cpo-chsl-mts-cds-upsc-all-other-competitive-exams-formula-book/p/itm2629f92642d49?pid=RBKHYZ9SGHURAPTZ&lid=LSTRBKHYZ9SGHURAPTZZCR4AM&marketplace=FLIPKART&q=books&store=bks&spotlightTagId=BestsellerId_bks&srno=s_1_3&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKHYZ9SGHURAPTZ.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
BRAHMASTRA Complete Maths Multicolored Formula Book Sec...,₹229,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/f/s/2/-original-imahffz6yzhyqvfq.jpeg?q=70,https://www.flipkart.com/brahmastra-complete-maths-multicolored-formula-book-second-bilingual/p/itmd6d06bf7fa4b5?pid=RBKGUFFWD5AFEMUZ&lid=LSTRBKGUFFWD5AFEMUZTLLCNR&marketplace=FLIPKART&q=books&store=bks&spotlightTagId=BestsellerId_bks&srno=s_1_4&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKGUFFWD5AFEMUZ.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Railway Samanya Vigyan 5000+ (????? ??????? ??????? 500...,₹109,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/i/9/9/railway-samanya-vigyan-5000-5000-in-hindi-aditya-ranjan-sir-original-imah2w6ey6uuhwpz.jpeg?q=70,https://www.flipkart.com/railway-samanya-vigyan-5000-5000-hindi-aditya-ranjan-sir-useful-rrb-alp-technician-nt-ntpc-cbt-1-cbt-2-group-d-rpf-si-constable-je-other-govt-2024-25-exams/p/itma5538e82d0d39?pid=RBKH2W6ENEJD6SA9&lid=LSTRBKH2W6ENEJD6SA9SUD06I&marketplace=FLIPKART&q=books&store=bks&spotlightTagId=BestsellerId_bks&srno=s_1_5&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKH2W6ENEJD6SA9.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Reasoning Book With Piyush Varshney (Hindi Medium),₹390,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/j/v/9/-original-imagqcv5askyvzhg.jpeg?q=70,https://www.flipkart.com/reasoning-book-piyush-varshney-hindi-medium/p/itma7627984b1d8f?pid=RBKG24PJQAFUBEEG&lid=LSTRBKG24PJQAFUBEEGTBY9DL&marketplace=FLIPKART&q=books&store=bks&spotlightTagId=TrendingId_bks&srno=s_1_6&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKG24PJQAFUBEEG.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
2025 - Objective Physics for NEET - Volume I | 5000+ Ch...,₹599,https://rukminim2.flixcart.com/image/612/612/xif0q/book/f/s/a/2025-objective-physics-for-neet-volume-i-5000-chapter-wise-mcqs-original-imah2zfyf5uv4b5m.jpeg?q=70,https://www.flipkart.com/2025-objective-physics-neet-volume-5000-chapter-wise-mcqs-ug-2024-solved-paper-7th-pearson-7/p/itm089c90495403c?pid=9789361590986&lid=LSTBOK9789361590986UDTLVV&marketplace=FLIPKART&q=books&store=bks&srno=s_1_7&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.9789361590986.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
PW Zoology Med Easy For NEET and Board Exams 2024-25 | ...,₹470,https://rukminim2.flixcart.com/image/612/612/xif0q/book/k/t/x/pw-zoology-med-easy-for-neet-and-board-exams-2024-25-flowcharts-original-imahyg4jg2rfwxfy.jpeg?q=70,https://www.flipkart.com/pw-zoology-med-easy-neet-board-exams-2024-25-flowcharts-schematic-diagrams-l-samapti-sinha-mahapatra-handwritten-notes/p/itmab750111215e5?pid=9789360345068&lid=LSTBOK9789360345068LRK07O&marketplace=FLIPKART&q=books&store=bks&srno=s_1_8&otracker=search&fm=organic&iid=en_zY1lxdGkYm1Vr3uW44TvYgqggNMVJE6YmOKepWSZE6eo4dV3BS4EKbJwEoGWs8vnnz48KMnD2flgXZWMYCLaZA%3D%3D&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Magic Book,₹99,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/r/p/b/magic-book-original-imahyyzypugz9u2u.jpeg?q=70,https://www.flipkart.com/magic-book/p/itmaa021e5e4332d?pid=RBKGCHGZA98XEHUU&lid=LSTRBKGCHGZA98XEHUUW1Q35N&marketplace=FLIPKART&q=books&store=bks&srno=s_1_9&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKGCHGZA98XEHUU.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Ultimate English Vocabulary By Shanu Sir Pocket Book Wi...,₹169,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/n/p/6/english-vocabulary-with-9100-words-mini-book-for-all-competitive-original-imagzgg3pyesvz2s.jpeg?q=70,https://www.flipkart.com/ultimate-english-vocabulary-shanu-sir-pocket-book-9100-words-all-competitive-exams-ssc-cgl-ssc-chsl-ssc-cpo-ssc-mts-bank-po-clerk-nda-cds-air-force-teaching-army-building-superior-45-days-adda247/p/itm4277fe4602c7e?pid=RBKGZHQHZAZHGPYJ&lid=LSTRBKGZHQHZAZHGPYJUUUDUZ&marketplace=FLIPKART&q=books&store=bks&srno=s_1_10&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKGZHQHZAZHGPYJ.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
"Oswaal CBSE Question Bank Class 10 Science, Chapterwise...",₹670,https://rukminim2.flixcart.com/image/612/612/xif0q/book/6/c/k/-original-imagxx9fqhazhwmz.jpeg?q=70,https://www.flipkart.com/oswaal-cbse-question-bank-class-10-science-chapterwise-topicwise-solved-papers-board-exams-2025/p/itm9da8712dadf59?pid=9789359589190&lid=LSTBOK9789359589190NRJTH3&marketplace=FLIPKART&q=books&store=bks&srno=s_1_11&otracker=search&fm=organic&iid=en_zY1lxdGkYm1Vr3uW44TvYgqggNMVJE6YmOKepWSZE6cX8vAXVYR9b1_zK7mtsAtn6o7pRbyR9Qv7ZYcQLYJk6maRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
PW CBSE Class 10th PYQs - Past 10 Years' Solved Papers ...,₹655,https://rukminim2.flixcart.com/image/612/612/xif0q/book/l/k/v/pw-cbse-class-10th-pyqs-past-10-years-solved-papers-2024-2025-original-imah3fkeg9a7xuy8.jpeg?q=70,https://www.flipkart.com/pw-cbse-class-10th-pyqs-past-10-years-solved-papers-2024-2025-delhi-outside-science-mathematics-standard-social-english-language-literature-step-wise-marking/p/itma4d9ad198a1c4?pid=9789360343804&lid=LSTBOK9789360343804RUP21W&marketplace=FLIPKART&q=books&store=bks&srno=s_1_12&otracker=search&fm=organic&iid=en_zY1lxdGkYm1Vr3uW44TvYgqggNMVJE6YmOKepWSZE6f912_NEiICFT6BwQuL7WQ5Ntb4xwV7E0bzpq-eiZHNqg%3D%3D&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
Aditya Ranjan Sir Railway Maths| Railway Ganit| Hindi M...,₹299,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/c/o/b/aditya-ranjan-sir-railway-maths-railway-ganit-hindi-medium-4000-original-imahyp4rrzaemrgq.jpeg?q=70,https://www.flipkart.com/aditya-ranjan-sir-railway-maths-ganit-hindi-medium-4000-chapter-wise-mcqs-ntpc-rpf-si-constable-alp-technician-group-d-rrb-je-other-exams/p/itm23b8ae4ce6bdd?pid=RBKHYJDR95HVBQF3&lid=LSTRBKHYJDR95HVBQF3FN3FTU&marketplace=FLIPKART&q=books&store=bks&srno=s_1_13&otracker=search&fm=organic&iid=e1b55d29-2bfc-4cc3-8de5-30c857cb6431.RBKHYJDR95HVBQF3.SEARCH&ppt=None&ppn=None&ssid=aanmidonf40000001723900699368&qH=7d8949bcbf85067f
