book_name,price,image,link
PS5 EA Sports FC 24,"₹2,399",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/h/0/o/-original-imahf6y837scgup4.jpeg?q=70,https://www.flipkart.com/ps5-ea-sports-fc-24/p/itmbd7035fb7c220?pid=GAMGRH8YMDCENH3K&lid=LSTGAMGRH8YMDCENH3K0COCUU&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&spotlightTagId=FkPickId_4rr%2Ffa6&srno=s_1_1&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMGRH8YMDCENH3K.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
Days Gone,"₹1,299",https://rukminim2.flixcart.com/image/612/612/klphn680/physical-game/w/c/h/standard-edition-days-gone-full-game-ps4-original-imagyrvzk4byku6q.jpeg?q=70,https://www.flipkart.com/days-gone/p/itmesgjheth5fkh9?pid=GAMESGJHSKPRGKRX&lid=LSTGAMESGJHSKPRGKRXR86JGP&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_2&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMESGJHSKPRGKRX.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
Spider-Man 2 (standard_edition),"₹4,990",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/h/k/s/no-standard-edition-ps5-spiderman-2-standard-edn-ps5-game-ps5-original-imagqgm5jd99ayhz.jpeg?q=70,https://www.flipkart.com/spider-man-2-standard-edition/p/itmc2593d7e1d9c7?pid=GAMGQGG4YYK87NHA&lid=LSTGAMGQGG4YYK87NHAJSHYLV&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&spotlightTagId=BestsellerId_4rr%2Ffa6&srno=s_1_3&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMGQGG4YYK87NHA.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
Uncharted : The Nathan Drake Collection,₹899,https://rukminim2.flixcart.com/image/612/612/j5pmt8w0/physical-game/x/n/c/uncharted-the-nathan-drake-collection-ps4-original-imaer6qwcpz2p4qa.jpeg?q=70,https://www.flipkart.com/uncharted-nathan-drake-collection/p/itme94zfbszvkssu?pid=GAME94ZFEWDMWXNC&lid=LSTGAME94ZFEWDMWXNCNFCMXE&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_4&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAME94ZFEWDMWXNC.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
PS5 Grand Theft Auto V,"₹2,199",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/v/d/d/-original-imahf6y77vrg7rxs.jpeg?q=70,https://www.flipkart.com/ps5-grand-theft-auto-v/p/itm05be02d39bb85?pid=GAMGDAMVJPDFTUKW&lid=LSTGAMGDAMVJPDFTUKWMRQZSR&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_5&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMGDAMVJPDFTUKW.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
PS4 Red Dead Redemption 2,"₹1,899",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/z/u/4/-original-imahfdkhykyv9eje.jpeg?q=70,https://www.flipkart.com/ps4-red-dead-redemption-2/p/itmbe4be26485a4d?pid=GAMERQEVYZGFRU3U&lid=LSTGAMERQEVYZGFRU3UUJ0KEL&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_6&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMERQEVYZGFRU3U.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
PS4 GTA V Premium Edition (Premium Edition),"₹1,699",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/5/i/t/-original-imahf6y7pjhycfzh.jpeg?q=70,https://www.flipkart.com/ps4-gta-v-premium-premium-edition/p/itme7270dd070c1b?pid=GAMFKDW9WFHUJVXF&lid=LSTGAMFKDW9WFHUJVXFCDSGYM&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_7&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMFKDW9WFHUJVXF.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
Final Fantasy VII Rebirth,"₹3,989",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/9/o/q/no-standard-edition-final-fantasy-vii-rebirth-single-ps5-original-imagwnhfewghkxjv.jpeg?q=70,https://www.flipkart.com/final-fantasy-vii-rebirth/p/itme0266570ff8d1?pid=GAMGWHHS37YFFVJG&lid=LSTGAMGWHHS37YFFVJGZAJZ0R&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_8&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMGWHHS37YFFVJG.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
"The Last Of Us (Remastered, PS4)",₹899,https://rukminim2.flixcart.com/image/612/612/l47cu4w0/physical-game/9/w/8/-original-imagf5wzzaqrfzaz.jpeg?q=70,https://www.flipkart.com/last-remastered-ps4/p/itmc62a7565ef19c?pid=AVMDY43KEDY6YFFM&lid=LSTAVMDY43KEDY6YFFMGMKSJK&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_9&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.AVMDY43KEDY6YFFM.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
PS4 EA Sports FC 24,"₹3,290",https://rukminim2.flixcart.com/image/612/612/xif0q/physical-game/n/g/v/-original-imahf6y8p74neg8j.jpeg?q=70,https://www.flipkart.com/ps4-ea-sports-fc-24/p/itma94047fef1245?pid=GAMGRH8YWKWRGUWE&lid=LSTGAMGRH8YWKWRGUWE5IQA1V&marketplace=FLIPKART&q=games&store=4rr%2Ffa6&srno=s_1_10&otracker=search&fm=organic&iid=298503fb-c5ea-4256-ba82-bc68debabccb.GAMGRH8YWKWRGUWE.SEARCH&ppt=None&ppn=None&ssid=xvpz2h66i80000001723901162297&qH=9cfa7aefcc61936b
